"name","Closing price","Volume","Adjusted closing price","date"
"AMSG",66.23,465974,66.23,2015-05-08
"AMSG",66.08,265683,66.08,2015-05-11
"AMSG",65.08,254010,65.08,2015-05-12
"AMSG",64.77,199027,64.77,2015-05-13
"AMSG",66.04,248724,66.04,2015-05-14
"AMSG",66.46,251957,66.46,2015-05-15
"AMSG",68.47,307063,68.47,2015-05-18
"AMSG",69.24,299372,69.24,2015-05-19
"AMSG",69.48,303627,69.48,2015-05-20
"AMSG",68.99,273468,68.99,2015-05-21
"AMSG",68.47,212157,68.47,2015-05-22
"AMSWA",10.18,19744,10.18,2015-04-23
"AMSWA",10.28,34903,10.28,2015-04-24
"AMSWA",10.35,50928,10.35,2015-04-27
"AMSWA",10.27,42175,10.27,2015-04-28
"AMSWA",10.12,16177,10.12,2015-04-29
"AMSWA",9.71,41591,9.71,2015-04-30
"AMSWA",9.66,25841,9.66,2015-05-01
"AMSWA",9.48,28100,9.48,2015-05-04
"AMSWA",9.3,44402,9.3,2015-05-05
"AMSWA",9.71,71184,9.71,2015-05-06
"AMSWA",9.4,24395,9.4,2015-05-07
"AMSWA",9.35,19595,9.35,2015-05-08
"AMSWA",9.15,20295,9.15,2015-05-11
"AMSWA",9.05,26467,9.05,2015-05-12
"AMSWA",8.83,49274,8.83,2015-05-13
"AMSWA",9.25,43904,9.25,2015-05-14
"AMSWA",9.23,81254,9.23,2015-05-15
"AMSWA",9.4,39710,9.4,2015-05-18
"AMSWA",9.31,40670,9.31,2015-05-19
"AMSWA",9.17,25442,9.17,2015-05-20
"AMSWA",9.1,43569,9.1,2015-05-21
"AMSWA",8.93,35296,8.93,2015-05-22
"AMT",96.04,1334224,96.04,2015-04-23
"AMT",95.32,2203714,95.32,2015-04-24
"AMT",95.19,1884743,95.19,2015-04-27
"AMT",95.76,1647078,95.76,2015-04-28
"AMT",93.51,3114264,93.51,2015-04-29
"AMT",94.53,4124318,94.53,2015-04-30
"AMT",93.48,3110242,93.48,2015-05-01
"AMT",94.64,2480088,94.64,2015-05-04
"AMT",93,3092818,93,2015-05-05
"AMT",92.86,3276300,92.86,2015-05-06
"AMT",93.63,1913652,93.63,2015-05-07
"AMT",94.95,2055773,94.95,2015-05-08
"AMT",93.65,2369101,93.65,2015-05-11
"AMT",93.6,2170813,93.6,2015-05-12
"AMT",92.94,3152406,92.94,2015-05-13
"AMT",94.81,2016836,94.81,2015-05-14
"AMT",95.51,2547210,95.51,2015-05-15
"AMT",95.2,1564833,95.2,2015-05-18
"AMT",95.45,1696042,95.45,2015-05-19
"AMT",94.32,2366161,94.32,2015-05-20
"AMT",93.9,2297384,93.9,2015-05-21
"AMT",94.35,2273725,94.35,2015-05-22
"AMTD",35.97,2866720,35.823820102953,2015-04-23
"AMTD",35.78,2212018,35.634592251422,2015-04-24
"AMTD",35.92,2409068,35.774023299919,2015-04-27
"AMTD",36.55,2694825,36.401463018152,2015-04-28
"AMTD",36.76,3488772,36.76,2015-04-29
"AMTD",36.25,2273571,36.25,2015-04-30
"AMTD",36.14,2530097,36.14,2015-05-01
"AMTD",36.66,1498403,36.66,2015-05-04
"AMTD",36.72,1826215,36.72,2015-05-05
"AMTD",36.48,1721844,36.48,2015-05-06
"AMTD",36.53,1600228,36.53,2015-05-07
"AMTD",36.38,2600835,36.38,2015-05-08
"AMTD",37.09,2938013,37.09,2015-05-11
"AMTD",36.78,2249731,36.78,2015-05-12
"AMTD",36.85,1892506,36.85,2015-05-13
"AMTD",37.04,2151676,37.04,2015-05-14
"AMTD",36.72,1523296,36.72,2015-05-15
"AMTD",37.57,1624501,37.57,2015-05-18
"AMTD",37.7,2182919,37.7,2015-05-19
"AMTD",37.27,1237743,37.27,2015-05-20
"AMTD",37.02,1124671,37.02,2015-05-21
"AMTD",37.08,973440,37.08,2015-05-22
"AMTG",16.07,146344,16.07,2015-04-23
"AMTG",16.09,95178,16.09,2015-04-24
"AMTG",16.09,153486,16.09,2015-04-27
"AMTG",16.09,164552,16.09,2015-04-28
"AMTG",15.93,128202,15.93,2015-04-29
"AMTG",15.86,187119,15.86,2015-04-30
"AMTG",15.94,193823,15.94,2015-05-01
"AMTG",15.91,114243,15.91,2015-05-04
"AMTG",15.69,275942,15.69,2015-05-05
"AMTG",15.68,210595,15.68,2015-05-06
"AMTG",15.64,274500,15.64,2015-05-07
"AMTG",15.66,178386,15.66,2015-05-08
"AMTG",15.59,142742,15.59,2015-05-11
"AMTG",15.61,169413,15.61,2015-05-12
"AMTG",15.61,169737,15.61,2015-05-13
"AMTG",15.74,141487,15.74,2015-05-14
"AMTG",15.76,126567,15.76,2015-05-15
"AMTG",15.84,173321,15.84,2015-05-18
"AMTG",15.81,133748,15.81,2015-05-19
"AMTG",15.81,92690,15.81,2015-05-20
"AMTG",15.82,85911,15.82,2015-05-21
"AMTG",15.75,118662,15.75,2015-05-22
"AMWD",52.65,69300,52.65,2015-04-23
"AMWD",53.31,70839,53.31,2015-04-24
"AMWD",51.03,157516,51.03,2015-04-27
"AMWD",52.16,96653,52.16,2015-04-28
"AMWD",51.98,80412,51.98,2015-04-29
"AMWD",50.7,106828,50.7,2015-04-30
"AMWD",52.24,140463,52.24,2015-05-01
"AMWD",52.67,153850,52.67,2015-05-04
"AMWD",52.06,97267,52.06,2015-05-05
"AMWD",50.43,116973,50.43,2015-05-06
"AMWD",50.8,133673,50.8,2015-05-07
"AMWD",50.8,168738,50.8,2015-05-08
"AMWD",50.83,128885,50.83,2015-05-11
"AMWD",49.81,136912,49.81,2015-05-12
"AMWD",50.65,114101,50.65,2015-05-13
"AMWD",51.42,120570,51.42,2015-05-14
"AMWD",51.2,93248,51.2,2015-05-15
"AMWD",50.67,115284,50.67,2015-05-18
"AMWD",50.71,105074,50.71,2015-05-19
"AMWD",50.4,70959,50.4,2015-05-20
"AMWD",50.06,132679,50.06,2015-05-21
"AMWD",49.98,59529,49.98,2015-05-22
"AMZG",0.171,318858,0.171,2015-04-23
"AMZG",0.1739,288063,0.1739,2015-04-24
"AMZG",0.16,403320,0.16,2015-04-27
"AMZG",0.1602,453803,0.1602,2015-04-28
"AMZG",0.175,326119,0.175,2015-04-29
"AMZG",0.1701,695521,0.1701,2015-04-30
"AMZG",0.182,740119,0.182,2015-05-01
"AMZG",0.1987,1232489,0.1987,2015-05-04
"AMZG",0.235,7112347,0.235,2015-05-05
"AMZG",0.255,3198136,0.255,2015-05-06
"AMZG",0.2364,1823062,0.2364,2015-05-07
"AMZG",0.1927,3632786,0.1927,2015-05-08
"AMZG",0.1927,507082,0.1927,2015-05-11
"AMZN",389.99,4768452,389.99,2015-04-23
"AMZN",445.1,16974124,445.1,2015-04-24
"AMZN",438.56,5397748,438.56,2015-04-27
"AMZN",429.31,4090280,429.31,2015-04-28
"AMZN",429.37,3599492,429.37,2015-04-29
"AMZN",421.785,3583513,421.785,2015-04-30
"AMZN",422.8,3401002,422.8,2015-05-01
"AMZN",423.04,2270448,423.04,2015-05-04
"AMZN",421.19,2856386,421.19,2015-05-05
"AMZN",419.1,2552474,419.1,2015-05-06
"AMZN",426.88,2766132,426.88,2015-05-07
"AMZN",433.69,2908838,433.69,2015-05-08
"AMZN",432.85,2393737,432.85,2015-05-11
"AMZN",431.02,1947822,431.02,2015-05-12
"AMZN",426.87,1979733,426.87,2015-05-13
"AMZN",432.28,1888477,432.28,2015-05-14
"AMZN",426,4214074,426,2015-05-15
"AMZN",425.24,2259691,425.24,2015-05-18
"AMZN",421.71,2412320,421.71,2015-05-19
"AMZN",423.86,2184361,423.86,2015-05-20
"AMZN",431.63,4066392,431.63,2015-05-21
"AMZN",427.65,2000413,427.65,2015-05-22
"AN",64.97,1639314,64.97,2015-04-23
"AN",64.8,813992,64.8,2015-04-24
"AN",63.67,883532,63.67,2015-04-27
"AN",62.51,1067182,62.51,2015-04-28
"AN",62.23,851006,62.23,2015-04-29
"AN",61.55,737713,61.55,2015-04-30
"AN",62.96,914154,62.96,2015-05-01
"AN",63.57,716242,63.57,2015-05-04
"AN",63.09,932442,63.09,2015-05-05
"AN",63.12,535499,63.12,2015-05-06
"AN",62.81,723212,62.81,2015-05-07
"AN",63.12,679343,63.12,2015-05-08
"AN",63.06,886253,63.06,2015-05-11
"AN",62.97,803058,62.97,2015-05-12
"AN",62.37,455672,62.37,2015-05-13
"AN",62.32,492467,62.32,2015-05-14
"AN",62.3,942416,62.3,2015-05-15
"AN",62.69,1136606,62.69,2015-05-18
"AN",62.48,862459,62.48,2015-05-19
"AN",62.21,747624,62.21,2015-05-20
"AN",62.39,1006996,62.39,2015-05-21
"AN",62.26,479662,62.26,2015-05-22
"ANAC",66.59,336743,66.59,2015-04-23
"ANAC",64.49,510196,64.49,2015-04-24
"ANAC",58.55,986503,58.55,2015-04-27
"ANAC",54.69,1701427,54.69,2015-04-28
"ANAC",55.51,775570,55.51,2015-04-29
"ANAC",52.69,678930,52.69,2015-04-30
"ANAC",54.4,750607,54.4,2015-05-01
"ANAC",56.34,636833,56.34,2015-05-04
"ANAC",55.51,586338,55.51,2015-05-05
"ANAC",56.56,534480,56.56,2015-05-06
"ANAC",60.4,1118723,60.4,2015-05-07
"ANAC",61.4,705390,61.4,2015-05-08
"ANAC",62,602432,62,2015-05-11
"ANAC",62.56,467162,62.56,2015-05-12
"ANAC",63.29,536020,63.29,2015-05-13
"ANAC",64.08,644796,64.08,2015-05-14
"ANAC",62.37,589136,62.37,2015-05-15
"ANAC",61.89,518410,61.89,2015-05-18
"ANAC",62.62,547997,62.62,2015-05-19
"ANAC",64.01,327165,64.01,2015-05-20
"ANAC",63.42,443179,63.42,2015-05-21
"ANAC",65.36,640603,65.36,2015-05-22
"ANAD",1.36,95692,1.36,2015-04-23
"ANAD",1.33,204603,1.33,2015-04-24
"ANAD",1.26,350042,1.26,2015-04-27
"ANAD",1.3,171181,1.3,2015-04-28
"ANAD",1.27,239127,1.27,2015-04-29
"ANAD",1.32,202395,1.32,2015-04-30
"ANAD",1.35,160996,1.35,2015-05-01
"ANAD",1.3,591336,1.3,2015-05-04
"ANAD",1.3,298392,1.3,2015-05-05
"ANAD",0.96,2265635,0.96,2015-05-06
"ANAD",0.87,1089893,0.87,2015-05-07
"ANAD",0.911,489463,0.911,2015-05-08
"ANAD",0.96,409660,0.96,2015-05-11
"ANAD",0.9599,168719,0.9599,2015-05-12
"ANAD",0.93,170221,0.93,2015-05-13
"ANAD",0.9499,128524,0.9499,2015-05-14
"ANAD",0.93,81685,0.93,2015-05-15
"ANAD",0.9,198767,0.9,2015-05-18
"ANAD",0.87,238951,0.87,2015-05-19
"ANAD",0.9,114138,0.9,2015-05-20
"ANAD",0.88,119466,0.88,2015-05-21
"ANAD",0.85,100459,0.85,2015-05-22
"ANAT",100.77,27427,100.77,2015-04-23
"ANAT",101.35,26108,101.35,2015-04-24
"ANAT",100.14,26762,100.14,2015-04-27
"ANAT",101.36,25284,101.36,2015-04-28
"ANAT",101.16,18097,101.16,2015-04-29
"ANAT",100.06,34070,100.06,2015-04-30
"ANAT",100.11,22999,100.11,2015-05-01
"ANAT",100.18,11275,100.18,2015-05-04
"ANAT",99.44,77670,99.44,2015-05-05
"ANAT",99.12,43622,99.12,2015-05-06
"ANAT",99.3,13582,99.3,2015-05-07
"ANAT",99.45,19745,99.45,2015-05-08
"ANAT",99.46,27686,99.46,2015-05-11
"ANAT",99.39,25532,99.39,2015-05-12
"ANAT",99.31,37352,99.31,2015-05-13
"ANAT",99.46,29052,99.46,2015-05-14
"ANAT",99.02,21742,99.02,2015-05-15
"ANAT",100.38,27612,100.38,2015-05-18
"ANAT",100.15,32529,100.15,2015-05-19
"ANAT",99.07,79114,99.07,2015-05-20
"ANAT",99.15,23614,99.15,2015-05-21
"ANAT",99.02,12065,99.02,2015-05-22
"ANCX",18.97,34258,18.97,2015-04-23
"ANCX",18.91,17322,18.91,2015-04-24
"ANCX",19.04,14796,19.04,2015-04-27
"ANCX",19.08,14472,19.08,2015-04-28
"ANCX",18.92,8089,18.92,2015-04-29
"ANCX",18.9,10535,18.9,2015-04-30
"ANCX",18.915,17561,18.915,2015-05-01
"ANCX",18.88,7057,18.88,2015-05-04
"ANCX",18.98,8604,18.98,2015-05-05
"ANCX",19.08,4011,19.08,2015-05-06
"ANCX",19.17,12103,19.17,2015-05-07
"ANCX",19.2,14792,19.2,2015-05-08
"ANCX",19.25,22246,19.25,2015-05-11
"ANCX",19.7,15045,19.7,2015-05-12
"ANCX",19.7,19026,19.7,2015-05-13
"ANCX",20.23,69361,20.23,2015-05-14
"ANCX",20.74,45522,20.74,2015-05-15
"ANCX",20.88,68414,20.88,2015-05-18
"ANCX",21.42,34553,21.42,2015-05-19
"ANCX",21.37,38356,21.37,2015-05-20
"ANCX",21.29,13299,21.29,2015-05-21
"ANCX",20.62,35330,20.62,2015-05-22
"ANDE",42.93,219059,42.93,2015-04-23
"ANDE",43.43,280747,43.43,2015-04-24
"ANDE",43.29,206229,43.29,2015-04-27
"ANDE",44.38,228688,44.38,2015-04-28
"ANDE",43.65,278888,43.65,2015-04-29
"ANDE",42.69,268772,42.69,2015-04-30
"ANDE",43.01,216447,43.01,2015-05-01
"ANDE",44.67,291814,44.67,2015-05-04
"ANDE",44.3,271581,44.3,2015-05-05
"ANDE",43.43,518265,43.43,2015-05-06
"ANDE",43.13,232754,43.13,2015-05-07
"ANDE",42.91,179713,42.91,2015-05-08
"ANDE",42.39,200057,42.39,2015-05-11
"ANDE",41.96,285805,41.96,2015-05-12
"ANDE",41.93,162117,41.93,2015-05-13
"ANDE",45.09,846235,45.09,2015-05-14
